請求コード,品名,分類
622444001,アマルエット配合錠１番「ＫＮ」,ht
622444101,アマルエット配合錠２番「ＫＮ」,ht
622444201,アマルエット配合錠３番「ＫＮ」,ht
622444301,アマルエット配合錠４番「ＫＮ」,ht
622445401,アマルエット配合錠１番「ケミファ」,ht
622445501,アマルエット配合錠２番「ケミファ」,ht
622445601,アマルエット配合錠３番「ケミファ」,ht
622445701,アマルエット配合錠４番「ケミファ」,ht
622447601,アマルエット配合錠１番「トーワ」,ht
622447701,アマルエット配合錠２番「トーワ」,ht
622447801,アマルエット配合錠３番「トーワ」,ht
622447901,アマルエット配合錠４番「トーワ」,ht
622452401,アマルエット配合錠１番「ＴＣＫ」,ht
622452501,アマルエット配合錠２番「ＴＣＫ」,ht
622452601,アマルエット配合錠３番「ＴＣＫ」,ht
622452701,アマルエット配合錠４番「ＴＣＫ」,ht
622453001,アマルエット配合錠１番「ＤＳＥＰ」,ht
622453101,アマルエット配合錠２番「ＤＳＥＰ」,ht
622453201,アマルエット配合錠３番「ＤＳＥＰ」,ht
622453301,アマルエット配合錠４番「ＤＳＥＰ」,ht
622456901,アマルエット配合錠１番「サワイ」,ht
622457001,アマルエット配合錠２番「サワイ」,ht
622457101,アマルエット配合錠３番「サワイ」,ht
622457201,アマルエット配合錠４番「サワイ」,ht
622461101,アマルエット配合錠１番「サンド」,ht
622461201,アマルエット配合錠２番「サンド」,ht
622461301,アマルエット配合錠３番「サンド」,ht
622461401,アマルエット配合錠４番「サンド」,ht
622462701,アマルエット配合錠１番「ＥＥ」,ht
622462801,アマルエット配合錠２番「ＥＥ」,ht
622462901,アマルエット配合錠３番「ＥＥ」,ht
622463001,アマルエット配合錠４番「ＥＥ」,ht
622465301,アマルエット配合錠１番「日医工」,ht
622465401,アマルエット配合錠２番「日医工」,ht
622465501,アマルエット配合錠３番「日医工」,ht
622465601,アマルエット配合錠４番「日医工」,ht
622467801,アマルエット配合錠１番「ニプロ」,ht
622467901,アマルエット配合錠２番「ニプロ」,ht
622468001,アマルエット配合錠３番「ニプロ」,ht
622468101,アマルエット配合錠４番「ニプロ」,ht
621932701,カデュエット配合錠１番,ht
621932801,カデュエット配合錠２番,ht
621932901,カデュエット配合錠３番,ht
621933001,カデュエット配合錠４番,ht
610422046,エカテリシン錠１０　１０ｍｇ,ht
610422047,エカテリシン錠５　５ｍｇ,ht
612170632,バイロテンシン錠５ｍｇ,ht
612170633,バイロテンシン錠１０ｍｇ,ht
610406284,ヘルラートＬ錠１０　１０ｍｇ,ht
612170703,ヘルラートＬ錠２０　２０ｍｇ,ht
612170631,バイミカード錠５ｍｇ,ht
612170670,バイミカード錠１０ｍｇ,ht
610422214,ニルジピン錠１０　１０ｍｇ,ht
610422215,ニルジピン錠５　５ｍｇ,ht
620007010,ニソルジピン錠５ｍｇ「トーワ」,ht
621470703,ニソルジピン錠５ｍｇ「ＪＧ」,ht
621470902,ニソルジピン錠５ｍｇ「ＹＤ」,ht
621471103,ニソルジピン錠１０ｍｇ「ＪＧ」,ht
622110301,ニソルジピン錠１０ｍｇ「トーワ」,ht
622117002,ニソルジピン錠１０ｍｇ「ＹＤ」,ht
610422225,バイニロード錠１０ｍｇ,ht
610422226,バイニロード錠５ｍｇ,ht
610461204,ニトレンジピン５ｍｇ錠,ht
610461205,ニトレンジピン１０ｍｇ錠,ht
620326701,ニトレンジピン錠５ｍｇ「日医工」,ht
620326801,ニトレンジピン錠５ｍｇ「サワイ」,ht
620327202,ニトレンジピン錠５ｍｇ「ＮＰ」,ht
620327602,ニトレンジピン錠５ｍｇ「オーハラ」,ht
620328101,ニトレンジピン錠１０ｍｇ「日医工」,ht
620328201,ニトレンジピン錠１０ｍｇ「サワイ」,ht
620328602,ニトレンジピン錠１０ｍｇ「ＮＰ」,ht
620329002,ニトレンジピン錠１０ｍｇ「オーハラ」,ht
621252901,ニトレンジピン錠５ｍｇ「ＺＥ」,ht
621253102,ニトレンジピン錠５ｍｇ「杏林」,ht
621253301,ニトレンジピン錠１０ｍｇ「ＺＥ」,ht
621253401,ニトレンジピン錠１０ｍｇ「日新」,ht
621253602,ニトレンジピン錠１０ｍｇ「杏林」,ht
622064302,ニトレンジピン錠５ｍｇ「日新」,ht
612170547,セパミット−Ｒカプセル１０　１０ｍｇ,ht
612170610,セパミット−Ｒカプセル２０　２０ｍｇ,ht
620006003,セパミット−Ｒ細粒２％,ht
620006004,セパミット細粒１％,ht
610422193,ドスペロピン錠１０　１０ｍｇ,ht
610422194,ドスペロピン錠５　５ｍｇ,ht
612120226,ナディック錠３０ｍｇ,ht
612120227,ナディック錠６０ｍｇ,ht
620002066,テノーミン錠２５　２５ｍｇ,ht
620002067,テノーミン錠５０　５０ｍｇ,ht
620008283,アテノロール錠５０ｍｇ「タイヨー」,ht
620254403,アテノロール錠２５ｍｇ「日新」,ht
620254406,アテノロール錠２５ｍｇ「トーワ」,ht
620254407,アテノロール錠２５ｍｇ「ＮＰ」,ht
620254411,アテノロール錠２５ｍｇ「サワイ」,ht
620254412,アテノロール錠２５ｍｇ「ＮｉｋＰ」,ht
620254419,アテノロール錠２５ｍｇ「タイヨー」,ht
620254424,アテノロール錠２５ｍｇ「ＪＧ」,ht
620254425,アテノロール錠２５ｍｇ「イセイ」,ht
620254426,アテノロール錠２５ｍｇ「ツルハラ」,ht
620254501,アテノロール錠５０ｍｇ「イセイ」,ht
620254509,アテノロール錠５０ｍｇ「サワイ」,ht
620254517,アテノロール錠５０ｍｇ「トーワ」,ht
620254522,アテノロール錠５０ｍｇ「ツルハラ」,ht
620254532,アテノロール錠５０ｍｇ「日新」,ht
620254544,アテノロール錠５０ｍｇ「ファイザー」,ht
620254553,アテノロール錠５０ｍｇ「ＮｉｋＰ」,ht
620254554,アテノロール錠５０ｍｇ「ＮＰ」,ht
620254560,アテノロール錠５０ｍｇ「ＪＧ」,ht
621974402,アテノロール錠２５ｍｇ「ファイザー」,ht
620001875,ビソプロロールフマル酸塩５ｍｇ錠,ht
621399302,ビソプロロールフマル酸塩錠２．５ｍｇ「ＺＥ」,ht
621399401,ビソプロロールフマル酸塩錠２．５ｍｇ「トーワ」,ht
621399501,ビソプロロールフマル酸塩錠２．５ｍｇ「サンド」,ht
621399602,ビソプロロールフマル酸塩錠２．５ｍｇ「日医工」,ht
621399902,ビソプロロールフマル酸塩錠５ｍｇ「ＺＥ」,ht
621400001,ビソプロロールフマル酸塩錠５ｍｇ「トーワ」,ht
621400302,ビソプロロールフマル酸塩錠５ｍｇ「テバ」,ht
621400401,ビソプロロールフマル酸塩錠５ｍｇ「サンド」,ht
621400502,ビソプロロールフマル酸塩錠５ｍｇ「日医工」,ht
621400601,ビソプロロールフマル酸塩錠５ｍｇ「日新」,ht
621400901,ビソプロロールフマル酸塩錠５ｍｇ「サワイ」,ht
621573402,ビソプロロールフマル酸塩錠２．５ｍｇ「サワイ」,ht
622060402,ビソプロロールフマル酸塩錠２．５ｍｇ「テバ」,ht
622064802,ビソプロロールフマル酸塩錠２．５ｍｇ「日新」,ht
622267901,ビソプロロールフマル酸塩錠０．６２５ｍｇ「ＺＥ」,ht
622271001,ビソプロロールフマル酸塩錠０．６２５ｍｇ「日医工」,ht
622284601,ビソプロロールフマル酸塩錠０．６２５ｍｇ「テバ」,ht
622289402,ビソプロロールフマル酸塩錠０．６２５ｍｇ「サンド」,ht
622296701,ビソプロロールフマル酸塩錠０．６２５ｍｇ「サワイ」,ht
622296801,ビソプロロールフマル酸塩錠０．６２５ｍｇ「日新」,ht
622339301,ビソプロロールフマル酸塩錠０．６２５ｍｇ「トーワ」,ht
622591001,ビソプロロールフマル酸塩錠０．６２５ｍｇ「ＪＧ」,ht
622591101,ビソプロロールフマル酸塩錠２．５ｍｇ「ＪＧ」,ht
622591201,ビソプロロールフマル酸塩錠５ｍｇ「ＪＧ」,ht
620252204,カルテオロール塩酸塩錠５ｍｇ「サワイ」,ht
620252207,カルテオロール塩酸塩錠５ｍｇ「ＴＣＫ」,ht
620252208,カルテオロール塩酸塩錠５ｍｇ「トーワ」,ht
620252210,カルテオロール塩酸塩錠５ｍｇ「ツルハラ」,ht
621770001,カルテオロール塩酸塩錠５ｍｇ「日医工」,ht
612120320,アルマイラー錠２５　２５ｍｇ,ht
612120321,アルマイラー錠５０　５０ｍｇ,ht
620255102,アロチノロール塩酸塩錠５ｍｇ「ＤＳＰ」,ht
620255302,アロチノロール塩酸塩錠１０ｍｇ「ＤＳＰ」,ht
620255403,アロチノロール塩酸塩錠１０ｍｇ「サワイ」,ht
620255408,アロチノロール塩酸塩錠１０ｍｇ「トーワ」,ht
620255417,アロチノロール塩酸塩錠１０ｍｇ「ＪＧ」,ht
620255420,アロチノロール塩酸塩錠１０ｍｇ「テバ」,ht
622052102,アロチノロール塩酸塩錠５ｍｇ「サワイ」,ht
622055502,アロチノロール塩酸塩錠５ｍｇ「トーワ」,ht
622062802,アロチノロール塩酸塩錠５ｍｇ「テバ」,ht
622071301,アロチノロール塩酸塩錠５ｍｇ「日医工」,ht
622071401,アロチノロール塩酸塩錠１０ｍｇ「日医工」,ht
622108802,アロチノロール塩酸塩錠５ｍｇ「ＪＧ」,ht
612120016,インデラル錠１０ｍｇ,ht
620004527,チオグール錠５ｍｇ,ht
612120031,カルビスケン錠５ｍｇ,ht
612120119,ミケラン錠５ｍｇ,ht
612120004,アセタノールカプセル１００　１００ｍｇ,ht
612120148,アセタノールカプセル２００　２００ｍｇ,ht
612120324,クシセミン錠５０ｍｇ,ht
620254417,クシセミン錠２５ｍｇ,ht
610453017,ウェルビー錠２．５ｍｇ,ht
610453018,ウェルビー錠５ｍｇ,ht
622289401,ウェルビー錠０．６２５ｍｇ,ht
612120318,アルセノール錠２５　２５ｍｇ,ht
612120319,アルセノール錠５０　５０ｍｇ,ht
620004559,ピンドロール錠５ｍｇ「日医工」,ht
620005077,ピンドロール錠５ｍｇ「トーワ」,ht
620253729,ピンドロール錠５ｍｇ「ツルハラ」,ht
612130207,フルイトラン錠２ｍｇ,ht
620009430,フルイトラン錠１ｍｇ,ht
620264701,ヒドロクロロチアジド錠２５ｍｇ「トーワ」,ht
622142502,ヒドロクロロチアジド錠１２．５ｍｇ「トーワ」,ht
622613600,テルミサルタン・ヒドロクロロチアジド錠（１）,ht
622613700,テルミサルタン・ヒドロクロロチアジド錠（２）,ht
622617500,ロサルタンカリウム・ヒドロクロロチアジド錠（１）,ht
622617600,ロサルタンカリウム・ヒドロクロロチアジド錠（２）,ht
610421320,アダラートＣＲ錠１０ｍｇ,ht
610421321,アダラートＣＲ錠２０ｍｇ,ht
610421322,アダラートＣＲ錠４０ｍｇ,ht
612170539,アダラートＬ錠１０ｍｇ,ht
612170540,アダラートＬ錠２０ｍｇ,ht
620003132,アダラートカプセル５ｍｇ,ht
620003133,アダラートカプセル１０ｍｇ,ht
612170709,ノルバスク錠２．５ｍｇ,ht
612170710,ノルバスク錠５ｍｇ,ht
620008040,ノルバスクＯＤ錠２．５ｍｇ,ht
620008041,ノルバスクＯＤ錠５ｍｇ,ht
622002701,ノルバスク錠１０ｍｇ,ht
622002801,ノルバスクＯＤ錠１０ｍｇ,ht
610407003,スプレンジール錠２．５ｍｇ,ht
610407004,スプレンジール錠５ｍｇ,ht
610407005,デタントールＲ錠３ｍｇ,ht
610407006,デタントールＲ錠６ｍｇ,ht
610407019,カルバン錠２５　２５ｍｇ,ht
610407020,カルバン錠５０　５０ｍｇ,ht
610407021,カルバン錠１００　１００ｍｇ,ht
610407142,コナン錠５ｍｇ,ht
610407143,コナン錠１０ｍｇ,ht
